"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24557","导入四川话音频，AI工具全选","testcases","Fri Jul 11 15:32:58 CST 2025","passed","Fri Jul 11 15:33:22 CST 2025","TestVideoImport","test_video_import","",""
"","2259","搜索敏感词","testcases","Fri Jul 11 15:30:11 CST 2025","passed","Fri Jul 11 15:30:13 CST 2025","TestSensitiveWords","test_sensitive_words","",""
"","8279","单个记录删除取消再确认，批量删除取消再确认","testcases","Fri Jul 11 15:33:22 CST 2025","passed","Fri Jul 11 15:33:31 CST 2025","TestTranscriptionRecord","test_transcription_record","",""
"","70632","实时转写中添加热词","testcases","Fri Jul 11 15:36:01 CST 2025","passed","Fri Jul 11 15:37:12 CST 2025","TestATranscription","test_atranscription","",""
"","0","选中多个热词删除,清空所有热词后保存，恢复空态显示","testcases","Fri Jul 11 15:39:49 CST 2025","skipped","Fri Jul 11 15:39:49 CST 2025","TestHotWord","test_hot_word","",""
"","0","三个槽位页下输入同一个热词，保存提交","testcases","Fri Jul 11 15:39:49 CST 2025","skipped","Fri Jul 11 15:39:49 CST 2025","TestHotWord","test_hot_word","",""
"","4375","删除敏感词","testcases","Fri Jul 11 15:30:53 CST 2025","passed","Fri Jul 11 15:30:58 CST 2025","TestSensitiveWords","test_sensitive_words","",""
"","33602","导入粤语音频，AI工具全选","testcases","Fri Jul 11 15:31:08 CST 2025","passed","Fri Jul 11 15:31:41 CST 2025","TestVideoImport","test_video_import","",""
"","5056","登录成功，点击菜单栏头像>退出账号，可退出账号","testcases","Fri Jul 11 15:40:39 CST 2025","broken","Fri Jul 11 15:40:45 CST 2025","TestLogout","test_zlogout","",""
"","15584","正在实时转写过程中，点击退出账号，弹窗提示需先结束实时转写，然后再退出系统，点击确定后再退出账号","testcases","Fri Jul 11 15:40:24 CST 2025","broken","Fri Jul 11 15:40:39 CST 2025","TestLogout","test_zlogout","",""
"","0","确定取消热词编辑后，再次进入热词编辑","testcases","Fri Jul 11 15:39:49 CST 2025","skipped","Fri Jul 11 15:39:49 CST 2025","TestHotWord","test_hot_word","",""
"","34862","精确搜索非当前tab中存在的热词,搜索不存在的热词，弹出toast提示","testcases","Fri Jul 11 15:39:49 CST 2025","passed","Fri Jul 11 15:40:24 CST 2025","TestHotWord","test_hot_word","",""
"","35951","修改为已存在的记录文件名，修改文件名后取消保存","testcases","Fri Jul 11 15:38:21 CST 2025","passed","Fri Jul 11 15:38:57 CST 2025","TestATranscription","test_atranscription","",""
"","18679","语气词过滤默认勾选状态，转写过程中，关闭语气词过滤，语气词过滤开关仅对本条记录生效","testcases","Fri Jul 11 15:37:35 CST 2025","passed","Fri Jul 11 15:37:54 CST 2025","TestATranscription","test_atranscription","",""
"","10463","会议记录翻译","testcases","Fri Jul 11 15:35:32 CST 2025","passed","Fri Jul 11 15:35:42 CST 2025","TestTranscriptionRecord","test_transcription_record","",""
"","0","保存后热词统一用中文顿号隔开,输入多个分隔符，保存过滤多余分隔符","testcases","Fri Jul 11 15:39:49 CST 2025","skipped","Fri Jul 11 15:39:49 CST 2025","TestHotWord","test_hot_word","",""
"","76765","导入中文音频，AI工具全选","testcases","Fri Jul 11 15:28:54 CST 2025","passed","Fri Jul 11 15:30:11 CST 2025","TestVideoImport","test_video_import","",""
"","0","打开声纹区分发言人，添加已有声纹的发言人，关闭声纹区分发言人，结束会议","testcases","Fri Jul 11 15:37:54 CST 2025","skipped","Fri Jul 11 15:37:54 CST 2025","TestATranscription","test_atranscription","",""
